epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6992,1.72371,3.58469,1.72386,0.00586,0.94167,0.18585,0.11303,1.53518,3.94013,1.50789,4.287e-05,4.287e-05,4.287e-05
2,22.4638,1.641,3.33228,1.57854,0.00761,0.98333,0.32543,0.19971,1.37873,3.86121,1.38003,9.80494e-05,9.80494e-05,9.80494e-05
3,31.9538,1.42366,2.59235,1.4196,0.00739,0.975,0.39169,0.23993,1.25331,3.59599,1.2842,0.000150965,0.000150965,0.000150965
4,46.2898,1.30118,2.06197,1.47419,0.00657,0.98333,0.49574,0.31544,1.17748,3.4342,1.22367,0.000201618,0.000201618,0.000201618
5,64.4439,1.33016,1.69434,1.31213,0.00633,0.99167,0.93326,0.64571,1.12933,3.44802,1.21535,0.000250006,0.000250006,0.000250006
6,73.7652,1.46437,1.79993,1.38055,0.00654,0.99167,0.95006,0.66303,1.06122,3.4071,1.19596,0.000296132,0.000296132,0.000296132
7,83.0527,1.37657,1.81674,1.37359,0.00654,0.98333,0.94896,0.6968,1.07121,3.32675,1.19274,0.000339993,0.000339993,0.000339993
8,92.454,1.07579,1.44735,1.15038,0.9854,0.27717,0.94239,0.69253,1.10618,3.16547,1.19433,0.000381592,0.000381592,0.000381592
9,101.762,1.19006,1.39868,1.21468,1,0.25731,0.96111,0.73925,1.20518,2.94765,1.23272,0.000420926,0.000420926,0.000420926
10,111.072,1.20056,1.47083,1.22767,1,0.16291,0.98329,0.71177,1.1073,2.98869,1.15299,0.000457997,0.000457997,0.000457997
11,120.302,1.19185,1.44284,1.20253,0.00978,0.98333,0.63527,0.43498,1.05446,3.10429,1.11845,0.000492805,0.000492805,0.000492805
12,130.137,1.08908,1.34175,1.13896,0.98005,0.20052,0.58709,0.39863,1.154,2.95349,1.14087,0.000525349,0.000525349,0.000525349
13,139.722,1.29649,1.37572,1.24544,1,0.29083,0.6343,0.40502,1.27244,2.83654,1.1986,0.000555629,0.000555629,0.000555629
