epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,154.533,1.26204,1.40076,1.23826,1,0.35884,0.72363,0.50693,1.11285,2.66816,1.13991,0.000583646,0.000583646,0.000583646
15,164.056,1.19368,1.34507,1.18416,0.99068,0.43897,0.98666,0.76831,1.09356,2.44679,1.14042,0.0006094,0.0006094,0.0006094
16,173.428,1.15171,1.3305,1.19997,0.96102,0.95698,0.98527,0.68577,1.33371,2.37668,1.22967,0.00063289,0.00063289,0.00063289
17,182.622,1.15123,1.28972,1.22225,0.69267,0.92711,0.97452,0.68865,1.28793,2.21565,1.23681,0.000654116,0.000654116,0.000654116
18,191.994,1.12862,1.21199,1.18341,0.64718,0.98333,0.97952,0.73679,1.05422,1.7994,1.14317,0.000673079,0.000673079,0.000673079
19,201.289,1.13021,1.25544,1.17996,0.71058,0.98333,0.97785,0.73127,1.1541,1.83565,1.20907,0.000689778,0.000689778,0.000689778
20,210.547,1.20419,1.28618,1.19998,0.68661,0.99167,0.9867,0.71287,1.49621,1.99719,1.41253,0.000704214,0.000704214,0.000704214
21,219.812,1.19583,1.20544,1.17214,0.6241,0.975,0.96525,0.69502,1.23442,1.72028,1.31542,0.000716386,0.000716386,0.000716386
22,237.662,1.11171,1.21759,1.14216,0.65463,0.975,0.96733,0.75797,1.11087,1.56174,1.18618,0.000726295,0.000726295,0.000726295
23,260.129,1.03692,1.12455,1.09709,0.6997,0.975,0.96717,0.71776,1.08153,1.50318,1.14833,0.00073394,0.00073394,0.00073394
24,269.126,1.03376,1.12067,1.07499,0.74991,0.975,0.96775,0.66018,1.12795,1.54734,1.17688,0.000739322,0.000739322,0.000739322
25,278.192,1.16915,1.25134,1.19975,0.91129,0.95599,0.97235,0.66853,1.12857,1.5687,1.16782,0.00074244,0.00074244,0.00074244
26,290.333,1.12566,1.22719,1.15146,0.96003,0.85469,0.96907,0.61181,1.15267,1.59726,1.20038,0.000721645,0.000721645,0.000721645
27,315.239,1.00099,1.14279,1.09339,0.96525,0.8843,0.97731,0.64419,1.04831,1.46206,1.15729,0.000693351,0.000693351,0.000693351
28,341.364,0.97998,1.14687,1.05544,0.96695,0.93495,0.97798,0.65415,0.97435,1.3701,1.09609,0.000665057,0.000665057,0.000665057
29,359.269,1.04128,1.24427,1.13009,0.9652,0.96876,0.97603,0.68239,1.00702,1.37568,1.10839,0.000636762,0.000636762,0.000636762
30,368.228,1.0701,1.13498,1.12714,0.94916,0.96922,0.97328,0.67306,1.04002,1.33475,1.1143,0.000608468,0.000608468,0.000608468
31,377.267,1.03164,1.10982,1.09293,0.93671,0.975,0.97881,0.68237,1.02364,1.28913,1.09747,0.000580174,0.000580174,0.000580174
32,392.664,1.04736,1.07575,1.11139,0.9622,0.99167,0.9927,0.70411,0.94985,1.21202,1.06044,0.00055188,0.00055188,0.00055188
33,401.653,0.94817,1.03367,1.09099,0.97443,0.98001,0.9938,0.71478,0.92345,1.19205,1.04438,0.000523586,0.000523586,0.000523586
34,410.303,0.99155,1.03149,1.11198,0.95884,0.96353,0.99353,0.72376,0.8829,1.19557,1.01986,0.000495291,0.000495291,0.000495291
35,418.919,0.88893,0.97446,1.0367,0.8649,0.92561,0.98733,0.6776,0.8587,1.20047,1.01187,0.000466997,0.000466997,0.000466997
36,427.608,0.90278,1.01683,1.04729,0.76959,0.84303,0.98733,0.62611,0.85183,1.1846,1.00393,0.000438703,0.000438703,0.000438703
37,436.703,0.99441,1.08725,1.14323,0.84514,0.91222,0.98802,0.6832,0.8136,1.13567,0.98878,0.000410409,0.000410409,0.000410409
38,445.584,0.93324,0.95228,1.05548,0.92385,0.9808,0.99411,0.74227,0.78881,1.09122,0.97873,0.000382115,0.000382115,0.000382115
39,454.401,0.89531,1.05876,1.08387,0.97216,0.98431,0.99405,0.79787,0.77052,1.06192,0.97764,0.00035382,0.00035382,0.00035382
40,463.436,0.95254,0.93284,1.04853,0.97134,0.98333,0.99062,0.84289,0.75862,1.11906,0.98079,0.000325526,0.000325526,0.000325526
41,472.236,0.94698,1.42888,1.06719,0.97476,0.98332,0.98691,0.83543,0.76385,1.23373,0.98386,0.000297232,0.000297232,0.000297232
42,481.55,0.85488,1.32861,1.04865,0.97584,0.97804,0.98665,0.83394,0.76963,1.28653,0.98585,0.000268938,0.000268938,0.000268938
43,491.504,0.82725,1.28582,0.98841,0.97485,0.96767,0.98615,0.8378,0.76845,1.32951,0.98363,0.000240644,0.000240644,0.000240644
44,500.969,0.88048,1.33373,1.02687,0.92225,0.87124,0.98762,0.83616,0.76296,1.37618,0.97954,0.000212349,0.000212349,0.000212349
45,510.316,0.83163,1.32851,1.05428,0.87534,0.85636,0.99152,0.83752,0.7553,1.36918,0.9776,0.000184055,0.000184055,0.000184055
46,519.473,0.76263,1.30108,1.00942,0.90486,0.92506,0.99217,0.84189,0.74276,1.30785,0.97253,0.000155761,0.000155761,0.000155761
47,528.369,0.83609,1.34707,0.9981,0.93084,0.90514,0.99429,0.84278,0.72527,1.21883,0.96271,0.000127467,0.000127467,0.000127467
48,536.998,0.82125,1.31141,1.00334,0.94226,0.90512,0.99467,0.80222,0.7114,1.15066,0.95272,9.91726e-05,9.91726e-05,9.91726e-05
49,545.563,0.80499,1.27191,1.03251,0.94576,0.91388,0.99492,0.8549,0.69969,1.09929,0.94507,7.08784e-05,7.08784e-05,7.08784e-05
50,554.116,0.80829,1.22764,1.03379,0.94584,0.91888,0.995,0.85535,0.69306,1.06876,0.94114,4.25842e-05,4.25842e-05,4.25842e-05
