epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5915,1.72596,3.58493,1.72352,0.00586,0.94167,0.18581,0.11225,1.53677,3.94508,1.50941,4.287e-05,4.287e-05,4.287e-05
2,25.1909,1.64207,3.33948,1.58816,0.00763,0.98333,0.33146,0.203,1.38201,3.86951,1.38716,9.80494e-05,9.80494e-05,9.80494e-05
3,36.7957,1.40969,2.56035,1.42757,0.00767,0.98333,0.38104,0.24094,1.23015,3.53716,1.26627,0.000150965,0.000150965,0.000150965
4,48.2012,1.33268,2.09798,1.48381,0.00628,0.975,0.46239,0.27128,1.15302,3.3757,1.21065,0.000201618,0.000201618,0.000201618
5,59.3976,1.30964,1.76108,1.3194,0.006,0.975,0.92874,0.64665,1.11092,3.38921,1.19551,0.000250006,0.000250006,0.000250006
6,70.487,1.40719,1.77785,1.37054,0.00668,0.96667,0.93429,0.67735,1.08229,3.37581,1.19473,0.000296132,0.000296132,0.000296132
7,81.8157,1.35453,1.82986,1.39662,0.00822,0.96667,0.95238,0.75297,1.07062,3.32811,1.18107,0.000339993,0.000339993,0.000339993
8,91.7531,1.12252,1.43468,1.22726,0.00719,0.975,0.70107,0.5195,1.05372,3.22419,1.15792,0.000381592,0.000381592,0.000381592
9,101.737,1.17946,1.37114,1.25718,1,0.14124,0.61072,0.39544,1.19537,3.20308,1.24111,0.000420926,0.000420926,0.000420926
10,111.719,1.22333,1.48772,1.29722,1,0.19031,0.54253,0.3513,1.11526,3.20708,1.19063,0.000457997,0.000457997,0.000457997
11,121.685,1.23187,1.47806,1.27,1,0.04016,0.55232,0.37646,1.04587,3.12687,1.16047,0.000492805,0.000492805,0.000492805
12,131.556,1.11274,1.29327,1.19601,1,0.23267,0.62613,0.44783,1.05298,2.96609,1.1415,0.000525349,0.000525349,0.000525349
13,141.37,1.22757,1.4069,1.29148,1,0.15354,0.95844,0.75155,1.0442,2.95524,1.12469,0.000555629,0.000555629,0.000555629
14,150.998,1.19724,1.39143,1.2482,1,0.2324,0.96138,0.70866,0.99969,2.82735,1.11972,0.000583646,0.000583646,0.000583646
15,160.666,1.09253,1.31245,1.1773,0.99011,0.41313,0.95168,0.68941,1.13335,2.59133,1.19046,0.0006094,0.0006094,0.0006094
16,170.381,1.18863,1.3349,1.24194,0.99067,0.43822,0.95434,0.75931,1.06866,2.34889,1.15823,0.00063289,0.00063289,0.00063289
17,180.277,1.09965,1.25589,1.224,0.99084,0.44645,0.9696,0.72804,1.02844,2.0688,1.13309,0.000654116,0.000654116,0.000654116
18,190.123,1.08657,1.18249,1.19123,0.98547,0.45833,0.98569,0.73012,1.09696,1.74991,1.16529,0.000673079,0.000673079,0.000673079
19,199.832,1.11928,1.26258,1.20335,0.91305,0.48333,0.98207,0.74794,1.22417,1.80579,1.24883,0.000689778,0.000689778,0.000689778
20,209.514,1.22704,1.31616,1.2467,0.96902,0.44167,0.97683,0.73669,1.31115,1.87304,1.3466,0.000704214,0.000704214,0.000704214
21,219.249,1.15909,1.21426,1.22347,0.8848,0.44167,0.71443,0.50872,1.12934,1.80084,1.2069,0.000716386,0.000716386,0.000716386
22,228.886,1.03486,1.19504,1.17231,0.62046,0.975,0.72368,0.53031,1.05805,1.6184,1.17062,0.000726295,0.000726295,0.000726295
23,238.385,1.05304,1.13898,1.17703,0.71943,0.96667,0.9753,0.67399,1.0681,1.51082,1.18221,0.00073394,0.00073394,0.00073394
24,247.864,0.99781,1.10992,1.1191,0.91152,0.93923,0.97462,0.72538,1.05839,1.50037,1.17736,0.000739322,0.000739322,0.000739322
25,257.381,1.11695,1.23346,1.22635,0.92326,0.9324,0.97471,0.68288,1.00522,1.53976,1.15232,0.00074244,0.00074244,0.00074244
26,267.018,1.03596,1.21282,1.12894,0.92009,0.95,0.97525,0.74292,0.99721,1.63641,1.12244,0.000721645,0.000721645,0.000721645
27,276.608,0.97783,1.15881,1.12127,0.92229,0.94167,0.96379,0.73174,0.96123,1.6469,1.08855,0.000693351,0.000693351,0.000693351
28,286.037,0.951,1.10383,1.07935,0.92233,0.96667,0.97724,0.7493,0.87035,1.47991,1.05766,0.000665057,0.000665057,0.000665057
29,295.481,1.02086,1.25695,1.15242,0.92697,0.975,0.97996,0.74926,0.89183,1.33563,1.05858,0.000636762,0.000636762,0.000636762
30,304.86,0.99071,1.1008,1.12502,0.92363,0.975,0.97971,0.7061,0.90636,1.29701,1.06367,0.000608468,0.000608468,0.000608468
31,314.339,1.02485,1.06753,1.14439,0.89178,0.975,0.97147,0.64564,0.92209,1.37892,1.06476,0.000580174,0.000580174,0.000580174
32,323.836,0.96637,1.00953,1.11094,0.8336,0.96667,0.97067,0.80412,0.9063,1.43243,1.05485,0.00055188,0.00055188,0.00055188
33,333.344,0.98791,1.07056,1.14006,0.86154,0.96667,0.97456,0.75894,0.91215,1.36634,1.06445,0.000523586,0.000523586,0.000523586
34,342.81,1.00576,1.00283,1.14239,0.8613,0.975,0.98333,0.82277,0.89247,1.27867,1.07244,0.000495291,0.000495291,0.000495291
35,352.283,0.88533,0.94104,1.05934,0.90094,0.98333,0.99403,0.7741,0.8756,1.23044,1.0614,0.000466997,0.000466997,0.000466997
36,361.934,0.92215,1.02437,1.09354,0.9048,0.99167,0.99455,0.77761,0.83411,1.16999,1.03871,0.000438703,0.000438703,0.000438703
37,371.597,0.94669,1.07009,1.14169,0.92377,0.99167,0.99455,0.78081,0.81784,1.15912,1.01694,0.000410409,0.000410409,0.000410409
38,381.1,0.94083,0.94072,1.10013,0.92307,0.99167,0.99381,0.83523,0.78425,1.13447,0.9953,0.000382115,0.000382115,0.000382115
39,390.636,0.87999,1.03825,1.11059,0.93424,0.99167,0.99435,0.83832,0.80003,1.11383,1.00634,0.00035382,0.00035382,0.00035382
40,400.325,0.90829,0.95206,1.08843,0.94831,0.98715,0.99451,0.84323,0.80769,1.09488,1.01716,0.000325526,0.000325526,0.000325526
41,409.799,0.94373,1.42853,1.13225,0.96882,0.98202,0.99492,0.84703,0.80257,1.07939,1.02139,0.000297232,0.000297232,0.000297232
42,419.173,0.87445,1.31918,1.08293,0.97451,0.98253,0.99462,0.90006,0.76069,1.09388,1.00937,0.000268938,0.000268938,0.000268938
43,428.745,0.79635,1.27174,1.01072,0.96914,0.99167,0.99353,0.89172,0.76724,1.1402,1.01254,0.000240644,0.000240644,0.000240644
44,438.144,0.85979,1.28829,1.06926,0.95808,0.99167,0.99323,0.88901,0.75085,1.18656,1.00234,0.000212349,0.000212349,0.000212349
45,447.595,0.79056,1.28823,1.05302,0.95386,0.99167,0.99303,0.88894,0.74039,1.20319,0.9861,0.000184055,0.000184055,0.000184055
46,458.664,0.77443,1.29884,1.02479,0.96193,0.99167,0.99357,0.79463,0.73912,1.15523,0.97629,0.000155761,0.000155761,0.000155761
47,468.16,0.77347,1.28413,1.00689,0.97145,0.99167,0.9938,0.79788,0.73465,1.10442,0.9694,0.000127467,0.000127467,0.000127467
48,477.534,0.78136,1.25066,1.01918,0.97469,0.99167,0.9938,0.79979,0.72273,1.06048,0.96291,9.91726e-05,9.91726e-05,9.91726e-05
49,487.008,0.8151,1.24032,1.05319,0.97401,0.99167,0.994,0.8509,0.70297,1.02948,0.95662,7.08784e-05,7.08784e-05,7.08784e-05
50,496.46,0.79091,1.21831,1.05363,0.97491,0.99167,0.99417,0.85356,0.68939,1.01212,0.95187,4.25842e-05,4.25842e-05,4.25842e-05
